customer_id,first_name,last_name,email,phone,address,city,state,zip_code,account_open_date,customer_segment,risk_score,annual_income,birth_date,employment_status,marital_status
CUST000001,DANIELLE,Johnson,danielle.johnson@sanchez-taylor.com,+1-581-896-0013x38908,9402 Peterson Drives,Port Matthew,CO,50298,2016-08-19,Standard,724,70741.0,1998-01-21,Employed,Married
CUST000002,CASSANDRA,Roman,cassandra.roman@stevens.com,+1-649-359-3103,64752 Kelly Skyway,Jacquelineland,PA,83728,2017-05-18,Standard,629,71781.0,1990-08-08,Employed,Married
CUST000003,Frank,Gray,frank.gray@watts.com,334-941-1525,4139 Lewis Parks Suite 724,East Julie,ND,34939,2023-02-19,Basic,747,15212.0,1971-08-29,Unemployed,Married
CUST000004,Brandy,Cox,brandy.cox@hicks.com,(981) 212-3504,691 James Mountain,Tashatown,TX,94967,2016-10-23,Premium,850,175072.0,2000-05-28,Employed,Widowed
CUST000005,  karen  ,Mack ,karen.mack@rodriguez-graham.info,5484281489,88095 Smith Lake Suite 303,North Jessicaland,WV,70323,2023-04-29,Standard,614,65108.0,1952-10-03,Self-Employed,Single
CUST000006,Thomas,Pierce,thomas.pierce@rose-obrien.com,652-873-4295,5787 John Circles Suite 098,New Jeffrey,CA,93279,2021-12-23,Standard,614,72837.0,1959-02-02,Employed,Married
CUST000007,  Rebecca  ,Heath ,rebecca.heath@palmer.info,582.399.7376,656 Owens Stream,Lake Deniseville,AR,53273,2022-12-13,Basic,850,22628.0,1995-02-07,Retired,Married
CUST000008,Daniel,Lee,daniel.lee@west.com,(995) 177-8260,80132 Tucker Forest,Barreraburgh,MS,00783,2025-07-09,Standard,765,59260.0,1961-05-17,Retired,Married
CUST000009,Kristen,Gibson,kristen.gibson@horton-cross.net,+1-972-434-3098x05009,121 Emma Freeway,Wilsonshire,IA,76381,2021-08-11,Premium,579,154840.0,1983-09-08,Employed,Single
CUST000010,Robert,Silva,robert.silva@stewart.com,344-371-7484,475 Albert Road,North Amandahaven,KS,17862,2024-12-31,Standard,731,71500.0,2000-02-28,Employed,Married
CUST000011,Natasha,Wood,natasha.wood@kim.com,+1-680-684-1241x182,534 King Vista,North Cynthiaview,AZ,00965,2019-01-01,Standard,580,55673.0,1952-11-28,Employed,Married
CUST000012,  Tina  ,Martin ,tina.martin@arnold-patterson.com,214-177-3442,9826 Bobby Lakes,West Jasonbury,TN,13974,2019-03-15,Basic,580,21967.0,1979-12-09,Self-Employed,Single
CUST000013,Nancy,Dickson,nancy.dickson@moore.com,522-125-3938,3421 Brennan Walks Suite 337,Kevinbury,IN,03602,2022-04-08,Basic,686,19575.0,1969-10-08,Retired,Single
CUST000014,Joshua,Jones,joshua.jones@bell-hicks.net,1118543408,94019 Reed Turnpike Suite 698,South Rachelborough,KS,06318,2022-10-03,Premium,363,122447.0,1944-10-09,Self-Employed,Divorced
CUST000015,Sara,Ryan,sara.ryan@bentley.biz,759-851-4846,236 Byrd Extensions Suite 680,Justinchester,WY,76520,2021-09-25,VIP,391,314975.0,1964-12-19,Retired,Married
CUST000016,Scott,Lowe,scott.lowe@kennedy.com,3829742424,951 Emily Fork Apt. 200,South Cheryl,WI,10046,2020-03-21,Standard,565,60009.0,2000-06-29,Employed,Single
CUST000017,Barbara,Higgins,barbara.higgins@snyder-sanchez.com,001-716-932-8708x31727,727 Green Gateway Suite 873,Scottport,IA,36115,2019-01-09,Standard,498,42507.0,2000-12-04,Employed,Married
CUST000018,Christopher,Hernandez,christopher.hernandez@benson-mccarthy.com,(965)287-6036x69096,6688 Tracy Groves Suite 706,Elizabethfurt,VA,22133,2024-01-27,Basic,697,24617.0,2002-08-06,Employed,Married
CUST000019,Tina,Ferguson,tina.ferguson@vargas-alvarado.com,758-538-3223,04653 Murphy Trace Suite 464,South Andrewside,AR,46371,2017-11-28,Premium,513,140612.0,1948-12-27,Employed,Married
CUST000020,susan,Williams,susan.williams@herring.com,(736) 256-4908,1937 Wang Expressway,Port Loriport,CT,76350,2015-12-03,Basic,438,20008.0,1964-04-27,Retired,Single
CUST000021,Erica,Rubio,erica.rubio@david-gonzalez.org,001-331-749-1905x865,7165 Zimmerman Mews,Lake Aimee,SD,35901,2021-10-28,Standard,850,74252.0,2002-08-08,Employed,Married
CUST000022,  Kim  ,Marshall ,kim.marshall@vargas.com,385-561-4995,965 Troy Islands Apt. 735,Matthewview,OH,01831,2020-10-31,Basic,616,22846.0,1956-09-14,Self-Employed,Divorced
CUST000023,John,Russell,john.russell@chang.info,1074059253,63495 Tran Key Suite 855,Nelsonview,IN,16315,2022-11-17,Standard,660,39535.0,1964-07-18,Retired,Single
CUST000024,julia,Tapia,julia.tapia@lopez.org,(878) 637-5636,43524 Jean Crossroad,Brandonton,OH,38791,2022-08-22,Basic,436,23685.0,1952-08-15,Employed,Single
CUST000025,Miranda,Henry,miranda.henry@andrews.info,(551) 448-4020,7116 Jones Roads,East Edwardshire,ME,11665,2025-08-09,Standard,568,55428.0,1952-02-17,Retired,Single
CUST000026,Kathy,Obrien,kathy.obrien@perez.info,7136777415,133 Guerrero Estate,East Andrea,GA,00851,2019-10-02,Standard,666,42930.0,1988-02-05,Retired,Married
CUST000027,  terry  ,Johnson ,terry.johnson@mann-warner.info,434-693-6183,02499 Gonzales Mountain,Hollyview,NY,71277,2020-08-08,Standard,477,39652.0,1949-09-25,Employed,Married
CUST000028,  BILL  ,Reynolds ,bill.reynolds@munoz-johnson.com,(790) 956-1339,027 Moon Falls Suite 717,Rickymouth,TN,14211,2024-03-30,Basic,706,24125.0,1965-06-11,Self-Employed,Married
CUST000029,heather,Roberts,heather.roberts@cervantes-pierce.info,5673181221,1680 Gutierrez Field Suite 977,East Josephberg,LA,57925,2024-06-22,VIP,559,454801.0,1975-03-16,Employed,Single
CUST000030,Anthony,Mccoy,anthony.mccoy@mckinney.net,9648665968,31712 Cantu Highway Suite 677,South Andrea,MS,25484,2024-11-19,Standard,606,58219.0,1976-09-07,Employed,Single
CUST000031,Natasha,Shields,natasha.shields@barton-dickerson.com,840.944.9972x78755,39636 Louis Mountains Suite 627,East Wayneshire,MA,13655,2024-05-29,Basic,559,16986.0,1972-05-28,Self-Employed,Single
CUST000032,Alicia,Bryant,alicia.bryant@thomas.com,(580) 900-5342,615 Finley Road Suite 809,East Crystalport,IN,98381,2016-07-27,Standard,850,70146.0,2006-04-20,Self-Employed,Divorced
CUST000033,Kathleen,Padilla,kathleen.padilla@wallace.com,5058045562,21969 Tyler Prairie,East Steven,KS,60737,2018-03-21,Basic,647,29520.0,1945-04-05,Employed,Married
CUST000034,linda,Santana,linda.santana@payne.org,664-674-3671x3695,640 Renee Summit,Wallport,WI,30663,2021-09-26,Standard,491,41112.0,1966-11-11,Employed,Single
CUST000035,Dana,Oliver,dana.oliver@campos.com,(743) 199-1645,0952 Renee Islands Suite 232,Alyssaview,MP,22068,2018-03-27,Standard,773,61282.0,1996-08-15,Employed,Single
CUST000036,TIMOTHY,Drake,timothy.drake@harrell.com,5151086814,516 Joseph Crossing Suite 549,Carsonstad,CT,88953,2018-01-02,Premium,466,112388.0,1946-03-30,Self-Employed,Single
CUST000037,Nicole,Hoffman,nicole.hoffman@walker.com,8083429496,00471 Jimmy Plain,South Shawn,TN,97905,2022-08-19,Standard,681,45144.0,1978-09-12,Employed,Widowed
CUST000038,brenda,Barber,brenda.barber@pena-bass.org,517-386-1536,77351 Stephens Rue Suite 064,North Stacy,GU,60101,2016-07-31,Standard,356,38746.0,1958-01-11,Employed,Married
CUST000039,Danielle,Maddox,danielle.maddox@buchanan.com,001-431-283-9335,28421 David Knolls Apt. 950,West Brian,WA,55677,2020-12-04,Basic,450,31640.0,1991-08-23,Retired,Married
